2026-07-27 13:06:41,766 | INFO     | phoenix_rag.app | Starting Phoenix RAG optimization run
2026-07-27 13:06:41,778 | INFO     | phoenix_rag.app | Source document: data/source.pdf
2026-07-27 13:06:44,055 | INFO     | phoenix_rag.document_loader | Loading document source.pdf (.pdf)
2026-07-27 13:06:45,068 | INFO     | phoenix_rag.document_loader | Loaded 4 page(s)/section(s) from source.pdf
2026-07-27 13:06:45,068 | INFO     | phoenix_rag.question_generator | Loading cached benchmark from C:\Users\User\Desktop\Coding Projects\phoenix-rag\generated_questions\benchmark.json
2026-07-27 13:06:45,068 | INFO     | phoenix_rag.experiment_runner | Benchmark ready: 10 fixed evaluation questions
2026-07-27 13:06:45,068 | INFO     | phoenix_rag.experiment_runner | === Iteration 1/6 ===
2026-07-27 13:06:45,068 | INFO     | phoenix_rag.experiment_runner | Rebuilding FAISS index (chunk params changed)
2026-07-27 13:06:45,068 | INFO     | phoenix_rag.document_loader | Loading document source.pdf (.pdf)
2026-07-27 13:06:45,645 | INFO     | phoenix_rag.document_loader | Loaded 4 page(s)/section(s) from source.pdf
2026-07-27 13:06:45,654 | INFO     | phoenix_rag.chunking | Split 4 document(s) into 38 chunks (chunk_size=300, overlap=50)
2026-07-27 13:06:45,654 | INFO     | phoenix_rag.vector_store | Building FAISS index from 38 chunks
2026-07-27 13:06:45,654 | DEBUG    | phoenix_rag.embeddings | Embedding batch 0-32 of 38
2026-07-27 13:06:45,752 | DEBUG    | httpcore.connection | connect_tcp.started host='api.mistral.ai' port=443 local_address=None timeout=300.0 socket_options=None
2026-07-27 13:06:45,817 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000239FD14CE50>
2026-07-27 13:06:45,817 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000239FD0BE210> server_hostname='api.mistral.ai' timeout=300.0
2026-07-27 13:06:45,845 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000239FD5327D0>
2026-07-27 13:06:45,845 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-27 13:06:45,847 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-27 13:06:45,847 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-27 13:06:45,847 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-27 13:06:45,847 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-27 13:06:46,316 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Mon, 27 Jul 2026 10:06:45 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'set-cookie', b'__cf_bm=lbTizL_sSZBYT_YOhem3dwVY_B5J8t5vSQAO.bz2RaI-1785146805.4895904-1.0.1.1-kye6undTXt7i740.0n50KxgyvA1hMO0hmtAITc1vECtTIGzHw522Ae5eg_xJxxOqSt6rdQk8YlOBls9cFf3lLh7aTUsHmrDYENsAou68ecPlixOLZDf5A_WIhDX9tk6S; HttpOnly; SameSite=None; Secure; Path=/; Domain=mistral.ai; Expires=Mon, 27 Jul 2026 10:36:45 GMT'), (b'mistral-correlation-id', b'019fa30a-8d3f-7451-b156-98c9b69ae204'), (b'x-kong-request-id', b'019fa30a-8d3f-7451-b156-98c9b69ae204'), (b'x-ratelimit-tokens-query-cost', b'1980'), (b'x-ratelimit-limit-req-minute', b'60'), (b'x-ratelimit-remaining-req-minute', b'59'), (b'x-envoy-upstream-service-time', b'229'), (b'Server', b'cloudflare'), (b'access-control-allow-origin', b'*'), (b'x-kong-upstream-latency', b'229'), (b'x-kong-proxy-latency', b'11'), (b'X-Content-Type-Options', b'nosniff'), (b'cf-cache-status', b'DYNAMIC'), (b'Strict-Transport-Security', b'max-age=15552000; includeSubDomains; preload'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'a21ad54e4b1c8c19-ADD'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-07-27 13:06:46,316 | INFO     | httpx | HTTP Request: POST https://api.mistral.ai/v1/embeddings "HTTP/1.1 200 OK"
2026-07-27 13:06:46,319 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-27 13:06:46,385 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-27 13:06:46,385 | DEBUG    | httpcore.http11 | response_closed.started
